fitness_instance_1,time_instance_1,fitness_instance_2,time_instance_2,fitness_instance_3,time_instance_3,fitness_instance_4,time_instance_4,fitness_instance_5,time_instance_5,fitness_instance_6,time_instance_6,fitness_instance_7,time_instance_7,fitness_instance_8,time_instance_8,configuration,average_fitness_across_instances,average_elapsed_time_across_instances,rank_instance_1,rank_instance_2,rank_instance_3,rank_instance_4,rank_instance_5,rank_instance_6,rank_instance_7,rank_instance_8,average_rank
45.0,0.11009176572163899,56.666666666666664,0.13042608896891275,2698.0,0.48467667897542316,2931.0,0.6069416999816895,110343.66666666667,3.3414817651112876,1291.9900000000005,1.9943516254425049,2282.979999999999,3.267226537068685,1963.863333333333,3.8197174072265625,"{'mutation_operator': 'inversion', 'crossover_operator': 'pmx', 'selection_method': 'roulette_wheel', 'population_replacement_strategy': 'lambda_mu'}",15201.645833333334,1.719364196062088,2,1,24,1,1,2,2,1,4.25
44.666666666666664,0.20014031728108725,58.0,0.23972034454345703,2406.3333333333335,1.0322620868682861,3016.6666666666665,0.9440213839213053,110343.66666666667,5.436824401219686,1291.9900000000005,3.2129200299580893,2282.979999999999,5.299115260442098,1963.863333333333,6.233763138453166,"{'mutation_operator': 'swap', 'crossover_operator': 'pmx', 'selection_method': 'roulette_wheel', 'population_replacement_strategy': 'lambda_mu'}",15176.020833333334,2.824845870335897,1,2,2,19,2,3,3,2,4.25
45.0,0.1761469841003418,58.0,0.23995566368103027,2406.3333333333335,1.0313842296600342,3016.6666666666665,0.9483090241750082,110343.66666666667,5.485083103179932,1291.9900000000005,3.251497745513916,2282.979999999999,5.363646745681763,1963.863333333333,6.262470404307048,"{'mutation_operator': 'insertion', 'crossover_operator': 'pmx', 'selection_method': 'roulette_wheel', 'population_replacement_strategy': 'lambda_mu'}",15176.0625,2.8448117375373845,3,3,1,20,3,4,4,3,5.125
45.333333333333336,0.12549336751302084,60.0,0.1506342093149821,2497.0,0.7121765613555908,2973.3333333333335,0.45476317405700684,121179.33333333333,2.2603530089060464,1203.3466666666666,2.272556781768799,2171.1,4.235415538152059,2135.0066666666667,3.4049720764160156,"{'mutation_operator': 'scramble', 'crossover_operator': 'pmx', 'selection_method': 'roulette_wheel', 'population_replacement_strategy': 'lambda_mu'}",16533.056666666667,1.70204558968544,4,5,3,18,4,1,1,4,5.0
56.666666666666664,0.11587587992350261,66.33333333333333,0.15920599301656088,2663.0,0.8785292307535807,3237.3333333333335,0.6919510364532471,124150.66666666667,3.595395803451538,1683.97,2.24284029006958,2484.763333333333,5.024266322453816,2231.193333333333,3.9611875216166177,"{'mutation_operator': 'scramble', 'crossover_operator': 'pmx', 'selection_method': 'roulette_wheel', 'population_replacement_strategy': 'elitism'}",17071.740833333333,2.0836565097173056,7,7,21,23,5,5,5,5,9.75
57.0,0.2318552335103353,64.33333333333333,0.2732369105021159,2685.0,1.3002816836039226,3376.6666666666665,1.267094612121582,126557.66666666667,5.962451696395874,1930.4399999999996,2.470935344696045,2710.843333333333,4.687201340993245,2412.563333333333,5.881493330001831,"{'mutation_operator': 'swap', 'crossover_operator': 'pmx', 'selection_method': 'roulette_wheel', 'population_replacement_strategy': 'elitism'}",17474.314166666667,2.759318768978119,8,6,23,24,6,8,7,6,11.0
53.666666666666664,0.16500775019327799,67.66666666666667,0.1816716194152832,2649.0,0.723713239034017,3228.0,0.6353309154510498,127689.0,3.3533830642700195,1930.4399999999996,1.536063273747762,2710.843333333333,2.916330655415853,2424.236666666666,3.491828997929891,"{'mutation_operator': 'inversion', 'crossover_operator': 'pmx', 'selection_method': 'roulette_wheel', 'population_replacement_strategy': 'elitism'}",17594.106666666667,1.6254161894321442,6,8,20,22,8,6,6,7,10.375
53.0,0.27974939346313477,59.666666666666664,0.3721476395924886,2685.0,1.3002253373463948,3142.0,1.5824094613393147,126557.66666666667,5.970140854517619,1930.4399999999996,2.4686752955118814,2710.843333333333,4.7119981447855634,2424.236666666666,5.699325402577718,"{'mutation_operator': 'insertion', 'crossover_operator': 'pmx', 'selection_method': 'roulette_wheel', 'population_replacement_strategy': 'elitism'}",17445.356666666667,2.798083941141764,5,4,22,21,7,7,8,8,10.25
59.333333333333336,0.09172773361206055,79.66666666666667,0.09569263458251953,3420.3333333333335,0.21441133817036948,3590.0,0.20761513710021973,157137.66666666666,0.7142403920491537,2349.866666666667,0.4672353267669678,3234.533333333333,0.7448481718699137,2702.3633333333332,0.90003768603007,"{'mutation_operator': 'inversion', 'crossover_operator': 'cut_and_crossfill', 'selection_method': 'roulette_wheel', 'population_replacement_strategy': 'elitism'}",21571.720416666667,0.4294760525226593,11,16,29,27,14,10,14,9,16.25
63.333333333333336,0.15668805440266928,76.66666666666667,0.16355037689208984,3430.3333333333335,0.34542075792948407,3721.3333333333335,0.2993780771891276,157137.66666666666,1.157347043355306,2349.866666666667,0.7515624364217123,3234.533333333333,1.1992580890655518,2702.3633333333332,1.446026881535848,"{'mutation_operator': 'swap', 'crossover_operator': 'cut_and_crossfill', 'selection_method': 'roulette_wheel', 'population_replacement_strategy': 'elitism'}",21589.51208333333,0.6899039645989736,16,14,30,32,16,11,15,10,18.0
