fitness_instance_1,time_instance_1,fitness_instance_2,time_instance_2,fitness_instance_3,time_instance_3,fitness_instance_4,time_instance_4,fitness_instance_5,time_instance_5,fitness_instance_6,time_instance_6,fitness_instance_7,time_instance_7,fitness_instance_8,time_instance_8,configuration,average_fitness_across_instances,average_elapsed_time_across_instances,rank_instance_1,rank_instance_2,rank_instance_3,rank_instance_4,rank_instance_5,rank_instance_6,rank_instance_7,rank_instance_8,average_rank
61.666666666666664,0.17812426884969076,80.0,0.162153959274292,2523.3333333333335,2.1538745562235513,2810.3333333333335,2.084819237391154,84986.66666666667,88.89263065656026,1219.206666666667,43.18348137537638,1485.71,152.00650429725647,1428.2633333333333,135.3810717264811,"{'mutation_operator': 'swap', 'crossover_operator': 'scx', 'selection_method': 'exponential_ranking', 'population_replacement_strategy': 'generational'}",11824.397500000001,53.005332509676606,3,5,2,2,1,2,1,1,2.125
53.333333333333336,0.575287659962972,65.66666666666667,0.36323173840840656,2632.0,3.587911367416382,2795.6666666666665,5.341005563735962,91642.33333333333,101.12750999132793,970.9133333333334,80.3661953608195,1736.623333333334,143.693350315094,1632.7366666666665,93.75331894556682,"{'mutation_operator': 'mixed', 'crossover_operator': 'scx', 'selection_method': 'exponential_ranking', 'population_replacement_strategy': 'generational'}",12691.159166666666,53.600976367791496,1,1,3,1,2,1,2,2,1.625
55.0,0.38534005482991535,69.0,0.33640368779500324,3168.6666666666665,1.6737156709035237,3283.0,1.7271413803100586,102802.66666666667,36.274149656295776,1311.43,33.07890764872233,1902.803333333334,91.5313503742218,1705.5499999999995,86.20291940371196,"{'mutation_operator': 'inversion', 'crossover_operator': 'scx', 'selection_method': 'exponential_ranking', 'population_replacement_strategy': 'generational'}",14287.264583333334,31.401240984598793,2,2,10,8,4,3,3,3,4.375
83.0,0.18427642186482748,105.33333333333333,0.23076764742533365,2688.0,1.7533446153004963,2856.6666666666665,1.8348780473073323,108546.66666666667,6.183521668116252,1709.9299999999996,4.7157589594523115,2011.3466666666664,11.220569531122843,1848.0899999999995,8.718400319417318,"{'mutation_operator': 'insertion', 'crossover_operator': 'scx', 'selection_method': 'linear_ranking', 'population_replacement_strategy': 'generational'}",14981.129166666666,4.355189651250839,8,11,5,3,5,9,5,4,6.25
76.0,0.29343239466349286,98.33333333333333,0.29113539059956867,2834.0,1.6733129819234211,3257.3333333333335,0.9886366526285807,108777.33333333333,6.902762333552043,1584.4966666666667,3.9635379314422607,2141.1133333333332,10.68660600980123,1894.5399999999997,9.017730871836344,"{'mutation_operator': 'inversion', 'crossover_operator': 'scx', 'selection_method': 'linear_ranking', 'population_replacement_strategy': 'generational'}",15082.89375,4.227144320805867,4,6,7,7,6,6,8,5,6.125
81.66666666666667,0.2047394116719564,75.66666666666667,0.2950449784596761,2676.3333333333335,2.6825312773386636,3053.3333333333335,2.431454658508301,101557.0,59.333385070165,1370.9866666666667,35.190529902776085,2009.5733333333337,157.301318248113,1920.1666666666667,181.95958813031515,"{'mutation_operator': 'insertion', 'crossover_operator': 'scx', 'selection_method': 'exponential_ranking', 'population_replacement_strategy': 'generational'}",14093.090833333334,54.92482395966849,7,3,4,5,3,4,4,6,4.5
79.66666666666667,0.5059622923533121,103.33333333333333,0.25275405248006183,2479.3333333333335,2.098647673924764,2963.0,1.4634190400441487,112192.0,4.795490264892578,1534.2300000000002,5.08133594195048,2025.9299999999996,18.352948904037476,1938.366666666666,8.893374919891357,"{'mutation_operator': 'mixed', 'crossover_operator': 'scx', 'selection_method': 'linear_ranking', 'population_replacement_strategy': 'generational'}",15414.482499999998,5.1804916361967726,6,9,1,4,9,5,6,7,5.875
90.66666666666667,0.17293659845987955,99.33333333333333,0.18691428502400717,2785.3333333333335,0.8950347105662028,3114.3333333333335,0.9858454068501791,109251.66666666667,4.654531955718994,1634.756666666667,3.734598239262899,2187.7599999999998,6.467531681060791,1943.6066666666666,4.046627203623454,"{'mutation_operator': 'swap', 'crossover_operator': 'scx', 'selection_method': 'linear_ranking', 'population_replacement_strategy': 'generational'}",15138.432083333333,2.6430025100708012,12,7,6,6,7,7,9,8,7.75
95.66666666666667,0.4908297856648763,103.33333333333333,0.3054376443227132,2879.0,1.3603315353393555,3405.0,0.7772452036539713,110749.0,11.608484188715616,1681.4333333333336,12.39401388168335,2118.3299999999995,49.29475768407186,1995.75,59.85512741406759,"{'mutation_operator': 'scramble', 'crossover_operator': 'scx', 'selection_method': 'linear_ranking', 'population_replacement_strategy': 'generational'}",15378.439166666667,17.01077841718992,13,10,8,9,8,8,7,9,9.0
102.66666666666667,0.25366028149922687,121.66666666666667,0.4166599114735921,3426.3333333333335,0.8438873291015625,3758.3333333333335,0.7729308605194092,119713.33333333333,6.1853383382161455,2018.5233333333333,2.9433236122131348,2350.9199999999996,5.52686603864034,2186.4499999999994,5.626038630803426,"{'mutation_operator': 'inversion', 'crossover_operator': 'scx', 'selection_method': 'uniform', 'population_replacement_strategy': 'generational'}",16709.778333333335,2.8210881253083544,15,18,15,18,12,13,10,10,13.875
105.0,0.4488979975382487,118.66666666666667,0.6624248822530111,3584.6666666666665,1.90003236134847,3724.0,1.446576674779256,126076.33333333333,9.48179825146993,2083.1766666666667,8.90858236948649,2593.2033333333325,17.782098929087322,2190.5900000000006,18.378055731455486,"{'mutation_operator': 'swap', 'crossover_operator': 'scx', 'selection_method': 'tournament', 'population_replacement_strategy': 'generational'}",17559.454583333332,7.376058399677277,16,17,19,16,19,17,17,11,16.5
